id_ticket,fecha_creacion,fecha_cierre,id_usuario,id_analista,categoria,prioridad,estado,sla_horas,tiempo_resolucion,sede,canal
50,2026-02-24,2026-02-25 04:00:00,485,4,Red,Alta,Abierto,24,28,Medellín,Correo
51,2026-05-10,2026-05-12 05:00:00,278,18,Correo,Media,Resuelto,4,53,Bogotá,Teléfono
52,2026-04-01,2026-04-02 15:00:00,290,18,Software,Baja,En Proceso,24,39,Medellín,Portal
53,2024-11-15,2024-11-15 11:00:00,419,13,Hardware,Baja,En Proceso,4,11,Medellín,Correo
54,2026-04-12,2026-04-14 07:00:00,121,10,Accesos,Baja,Abierto,12,55,Pereira,Correo
55,2024-07-03,2024-07-04 03:00:00,350,5,Equipos,Media,En Proceso,8,27,Cali,Correo
56,2024-07-19,2024-07-22 00:00:00,347,11,Hardware,Alta,En Proceso,4,72,Bucaramanga,Correo
57,2024-09-25,2024-09-25 07:00:00,31,4,Impresoras,Crítica,En Proceso,8,7,Medellín,Chat
58,2024-09-09,2024-09-10 10:00:00,406,17,Equipos,Crítica,En Proceso,12,34,Medellín,Portal
59,2025-08-01,2025-08-02 20:00:00,265,14,Telefonía,Crítica,Abierto,24,44,Medellín,Teams
60,2026-05-29,2026-05-30 08:00:00,394,4,Red,Media,Resuelto,24,32,Barranquilla,Teams
61,2025-06-15,2025-06-17 18:00:00,390,7,Telefonía,Alta,Resuelto,24,66,Bogotá,Teléfono
62,2025-09-25,2025-09-27 17:00:00,483,15,Office 365,Baja,Resuelto,12,65,Pereira,Correo
63,2026-04-08,2026-04-10 15:00:00,307,17,Software,Media,Abierto,24,63,Cali,Teléfono
64,2025-03-21,2025-03-23 08:00:00,161,11,Telefonía,Media,Resuelto,8,56,Pereira,Teams
65,2025-01-05,2025-01-05 21:00:00,61,7,Impresoras,Media,Cerrado,24,21,Pereira,Correo
66,2024-08-14,2024-08-14 05:00:00,411,10,Hardware,Crítica,Cerrado,8,5,Medellín,Teléfono
67,2024-06-12,2024-06-14 12:00:00,397,11,Telefonía,Media,En Proceso,24,60,Bogotá,Correo
68,2024-08-16,2024-08-17 16:00:00,148,13,Equipos,Crítica,Abierto,4,40,Bucaramanga,Correo
69,2024-09-06,2024-09-07 21:00:00,495,18,SAP,Media,Cerrado,8,45,Bogotá,Teléfono
70,2024-06-12,2024-06-12 06:00:00,94,19,Equipos,Crítica,En Proceso,24,6,Cali,Portal
71,2025-06-22,2025-06-25 00:00:00,230,8,Office 365,Media,En Proceso,24,72,Bogotá,Teams
72,2024-08-06,2024-08-07 05:00:00,207,1,Correo,Media,Abierto,8,29,Medellín,Teléfono
73,2025-03-27,2025-03-27 02:00:00,275,16,SAP,Crítica,En Proceso,48,2,Cali,Correo
74,2024-11-15,2024-11-15 21:00:00,343,7,Red,Alta,Resuelto,48,21,Bogotá,Teléfono
75,2024-07-02,2024-07-02 12:00:00,241,20,Red,Media,Abierto,48,12,Barranquilla,Correo
76,2025-02-23,2025-02-24 11:00:00,359,17,Office 365,Media,Abierto,12,35,Cali,Chat
77,2026-02-19,2026-02-21 04:00:00,109,6,Telefonía,Media,Cerrado,12,52,Barranquilla,Chat
78,2024-06-29,2024-06-29 17:00:00,22,16,Hardware,Crítica,Cerrado,4,17,Bucaramanga,Teams
79,2024-07-22,2024-07-22 16:00:00,162,9,Equipos,Baja,En Proceso,12,16,Barranquilla,Chat
80,2025-09-03,2025-09-03 04:00:00,11,17,Hardware,Media,Cerrado,12,4,Bogotá,Teams
81,2025-02-15,2025-02-16 23:00:00,46,6,Hardware,Baja,Resuelto,4,47,Barranquilla,Portal
82,2024-07-02,2024-07-04 16:00:00,273,1,SAP,Alta,En Proceso,48,64,Medellín,Chat
83,2024-09-18,2024-09-18 04:00:00,72,20,Red,Crítica,Resuelto,4,4,Bucaramanga,Correo
84,2025-03-09,2025-03-11 21:00:00,261,17,VPN,Media,Cerrado,4,69,Barranquilla,Portal
85,2025-03-23,2025-03-23 07:00:00,216,9,Accesos,Baja,Resuelto,24,7,Bucaramanga,Portal
86,2024-12-26,2024-12-28 23:00:00,314,4,Accesos,Crítica,Abierto,24,71,Barranquilla,Teams
87,2025-05-21,2025-05-23 16:00:00,184,19,Base de Datos,Media,Abierto,4,64,Bogotá,Teléfono
88,2025-10-30,2025-10-31 07:00:00,327,5,Office 365,Crítica,Abierto,8,31,Bucaramanga,Teams
89,2025-11-22,2025-11-24 16:00:00,83,7,Telefonía,Crítica,Abierto,48,64,Cali,Portal
90,2025-08-02,2025-08-04 08:00:00,89,16,Equipos,Media,Abierto,4,56,Bogotá,Chat
91,2026-05-06,2026-05-07 06:00:00,411,12,Base de Datos,Baja,Abierto,4,30,Medellín,Portal
92,2024-12-03,2024-12-04 21:00:00,226,8,Equipos,Alta,Resuelto,48,45,Bogotá,Teléfono
93,2025-09-17,2025-09-18 05:00:00,159,16,Accesos,Baja,En Proceso,8,29,Bogotá,Correo
94,2026-04-12,2026-04-12 13:00:00,173,10,Office 365,Baja,Abierto,4,13,Bogotá,Teams
95,2025-01-20,2025-01-21 06:00:00,82,20,Equipos,Alta,Resuelto,24,30,Barranquilla,Chat
96,2024-09-11,2024-09-11 22:00:00,18,15,Impresoras,Alta,En Proceso,24,22,Pereira,Teléfono
97,2025-05-17,2025-05-18 15:00:00,367,4,Correo,Alta,En Proceso,12,39,Medellín,Teams
98,2025-03-10,2025-03-10 17:00:00,382,19,Accesos,Media,En Proceso,48,17,Medellín,Teams
99,2024-08-14,2024-08-14 22:00:00,383,5,SAP,Baja,Resuelto,48,22,Cali,Chat
100,2024-10-15,2024-10-17 00:00:00,11,18,Telefonía,Baja,Resuelto,24,48,Pereira,Teléfono
101,2025-10-15,2025-10-18 00:00:00,89,20,Equipos,Crítica,En Proceso,8,72,Medellín,Teams
102,2025-07-17,2025-07-17 05:00:00,409,18,Equipos,Alta,Abierto,48,5,Barranquilla,Portal
103,2025-11-25,2025-11-26 14:00:00,38,15,Accesos,Crítica,Abierto,8,38,Bogotá,Portal
104,2025-12-06,2025-12-07 13:00:00,290,2,Base de Datos,Crítica,Abierto,12,37,Barranquilla,Teams
105,2026-04-26,2026-04-26 17:00:00,327,17,Correo,Baja,Resuelto,12,17,Barranquilla,Teams
106,2024-07-11,2024-07-11 07:00:00,438,20,Office 365,Media,Resuelto,8,7,Barranquilla,Teléfono
107,2026-01-09,2026-01-10 14:00:00,142,2,Software,Media,En Proceso,8,38,Bogotá,Portal
108,2025-09-24,2025-09-26 00:00:00,147,13,Hardware,Crítica,Cerrado,12,48,Pereira,Chat
109,2025-08-05,2025-08-05 12:00:00,350,18,Hardware,Alta,Cerrado,24,12,Medellín,Teams
110,2024-12-31,2024-12-31 12:00:00,456,9,Accesos,Media,Cerrado,48,12,Bogotá,Teléfono
111,2024-10-25,2024-10-27 16:00:00,469,6,Impresoras,Alta,Abierto,4,64,Medellín,Correo
112,2024-10-02,2024-10-04 23:00:00,154,11,Hardware,Media,En Proceso,48,71,Medellín,Teléfono
113,2026-05-14,2026-05-16 10:00:00,16,15,Red,Media,Abierto,24,58,Bogotá,Teléfono
114,2025-06-02,2025-06-04 00:00:00,203,2,Correo,Media,En Proceso,8,48,Medellín,Chat
115,2024-12-03,2024-12-05 15:00:00,58,13,Telefonía,Crítica,En Proceso,12,63,Bogotá,Teléfono
116,2024-08-12,2024-08-12 11:00:00,158,4,Software,Media,En Proceso,8,11,Barranquilla,Correo
117,2024-11-02,2024-11-04 01:00:00,172,19,Red,Crítica,Resuelto,24,49,Pereira,Portal
118,2026-03-14,2026-03-16 14:00:00,429,4,VPN,Media,Cerrado,48,62,Barranquilla,Teléfono
119,2024-09-06,2024-09-08 22:00:00,124,5,Software,Crítica,Cerrado,8,70,Bucaramanga,Teléfono
120,2024-10-22,2024-10-24 22:00:00,384,11,Software,Alta,Abierto,24,70,Barranquilla,Teléfono
121,2024-06-24,2024-06-24 22:00:00,466,10,Software,Alta,Abierto,24,22,Bogotá,Teléfono
122,2025-12-21,2025-12-22 00:00:00,289,3,Red,Alta,Cerrado,8,24,Cali,Teléfono
123,2025-02-18,2025-02-19 18:00:00,114,6,Base de Datos,Alta,Resuelto,8,42,Cali,Chat
124,2024-09-24,2024-09-24 16:00:00,489,11,Correo,Alta,Abierto,8,16,Barranquilla,Teléfono
125,2026-05-06,2026-05-06 08:00:00,265,14,Red,Baja,En Proceso,48,8,Barranquilla,Teams
126,2024-08-25,2024-08-27 11:00:00,68,13,VPN,Crítica,Cerrado,8,59,Pereira,Teléfono
127,2024-10-16,2024-10-18 11:00:00,19,9,Office 365,Baja,Abierto,8,59,Medellín,Teléfono
128,2025-05-16,2025-05-17 23:00:00,4,9,Impresoras,Baja,Abierto,12,47,Bogotá,Correo
129,2024-08-08,2024-08-10 03:00:00,313,9,Accesos,Baja,En Proceso,8,51,Bogotá,Portal
130,2026-05-10,2026-05-11 16:00:00,422,17,Correo,Baja,Abierto,8,40,Pereira,Correo
131,2025-01-09,2025-01-10 16:00:00,374,13,Hardware,Media,Resuelto,24,40,Pereira,Correo
132,2025-06-10,2025-06-11 00:00:00,272,15,Office 365,Media,Abierto,48,24,Bucaramanga,Portal
133,2025-10-03,2025-10-03 16:00:00,50,8,Accesos,Crítica,Abierto,24,16,Bogotá,Correo
134,2025-02-14,2025-02-14 07:00:00,381,4,Impresoras,Alta,Resuelto,48,7,Medellín,Portal
135,2026-02-20,2026-02-20 17:00:00,83,6,SAP,Crítica,Resuelto,12,17,Medellín,Correo
136,2025-01-09,2025-01-10 20:00:00,47,1,Office 365,Alta,Cerrado,24,44,Cali,Chat
137,2024-10-27,2024-10-27 06:00:00,110,7,SAP,Baja,Abierto,8,6,Cali,Correo
138,2025-11-24,2025-11-24 06:00:00,217,9,Office 365,Alta,En Proceso,8,6,Bucaramanga,Teléfono
139,2025-01-08,2025-01-09 01:00:00,450,18,Telefonía,Alta,En Proceso,4,25,Bucaramanga,Teléfono
140,2026-05-09,2026-05-11 06:00:00,382,11,SAP,Baja,Resuelto,4,54,Medellín,Chat
141,2025-05-01,2025-05-01 01:00:00,309,20,Telefonía,Crítica,Abierto,24,1,Pereira,Teams
142,2024-11-07,2024-11-08 18:00:00,370,17,Correo,Baja,Cerrado,8,42,Bogotá,Teléfono
143,2025-04-03,2025-04-03 23:00:00,242,12,Equipos,Crítica,Abierto,4,23,Bucaramanga,Teléfono
144,2025-02-02,2025-02-03 20:00:00,428,8,VPN,Media,Resuelto,48,44,Bucaramanga,Chat
145,2024-08-20,2024-08-21 12:00:00,455,15,Correo,Baja,Abierto,24,36,Pereira,Portal
146,2024-06-27,2024-06-29 19:00:00,14,5,Base de Datos,Alta,Abierto,48,67,Cali,Teléfono
147,2024-12-04,2024-12-05 21:00:00,252,14,VPN,Media,Cerrado,24,45,Cali,Chat
148,2025-01-28,2025-01-28 11:00:00,435,10,Telefonía,Crítica,Resuelto,48,11,Cali,Chat
149,2024-07-20,2024-07-20 17:00:00,304,19,Office 365,Alta,En Proceso,12,17,Bogotá,Teléfono
150,2024-09-09,2024-09-10 02:00:00,92,2,Correo,Baja,Cerrado,24,26,Medellín,Teams
151,2024-08-28,2024-08-28 19:00:00,14,3,Red,Alta,En Proceso,8,19,Cali,Teléfono
152,2024-12-18,2024-12-20 05:00:00,168,14,Red,Crítica,Resuelto,4,53,Barranquilla,Chat
153,2025-05-13,2025-05-14 20:00:00,24,14,Red,Alta,Resuelto,8,44,Barranquilla,Portal
154,2026-04-16,2026-04-18 10:00:00,181,1,Base de Datos,Baja,Resuelto,48,58,Pereira,Teams
155,2025-08-30,2025-08-31 06:00:00,247,12,VPN,Crítica,En Proceso,12,30,Cali,Chat
156,2025-04-06,2025-04-06 14:00:00,380,2,Telefonía,Baja,Cerrado,8,14,Medellín,Teléfono
157,2025-09-25,2025-09-26 19:00:00,481,19,Equipos,Media,Resuelto,48,43,Medellín,Correo
158,2025-10-27,2025-10-29 19:00:00,331,13,Red,Baja,Cerrado,12,67,Bucaramanga,Teams
159,2024-10-20,2024-10-20 18:00:00,229,15,Base de Datos,Media,Abierto,8,18,Medellín,Correo
160,2024-06-29,2024-06-29 23:00:00,305,18,Equipos,Media,Cerrado,24,23,Medellín,Teléfono
161,2024-09-23,2024-09-25 08:00:00,379,10,Equipos,Baja,Cerrado,4,56,Pereira,Teléfono
162,2024-11-08,2024-11-09 06:00:00,372,4,Office 365,Baja,En Proceso,48,30,Bogotá,Chat
163,2025-01-11,2025-01-12 01:00:00,177,1,VPN,Media,Resuelto,12,25,Barranquilla,Correo
164,2026-03-24,2026-03-27 00:00:00,436,6,Office 365,Media,Abierto,4,72,Bogotá,Chat
165,2025-08-03,2025-08-04 01:00:00,205,4,VPN,Crítica,Resuelto,8,25,Bogotá,Teléfono
166,2025-11-15,2025-11-15 18:00:00,85,11,Hardware,Crítica,Cerrado,12,18,Barranquilla,Teléfono
167,2026-06-01,2026-06-01 09:00:00,256,14,Correo,Alta,Abierto,8,9,Cali,Correo
168,2024-09-26,2024-09-28 23:00:00,89,5,Software,Crítica,Abierto,4,71,Bogotá,Teams
169,2026-04-10,2026-04-12 15:00:00,162,11,Red,Crítica,Resuelto,8,63,Medellín,Teléfono
170,2026-02-18,2026-02-19 20:00:00,313,7,Telefonía,Baja,Resuelto,24,44,Bogotá,Chat
171,2025-01-06,2025-01-07 17:00:00,200,18,SAP,Baja,Resuelto,12,41,Bucaramanga,Teléfono
172,2026-03-21,2026-03-23 00:00:00,206,12,Hardware,Baja,Cerrado,12,48,Barranquilla,Portal
173,2026-01-16,2026-01-18 11:00:00,317,5,Office 365,Baja,Cerrado,4,59,Bucaramanga,Correo
174,2024-06-09,2024-06-09 18:00:00,194,10,Correo,Crítica,Cerrado,4,18,Pereira,Portal
175,2024-09-05,2024-09-07 08:00:00,428,12,Base de Datos,Alta,Resuelto,12,56,Pereira,Teams
176,2025-07-29,2025-07-29 14:00:00,415,12,Correo,Alta,En Proceso,48,14,Barranquilla,Teléfono
177,2025-02-23,2025-02-23 11:00:00,63,13,Base de Datos,Media,Resuelto,48,11,Cali,Chat
178,2025-01-17,2025-01-17 12:00:00,156,6,Telefonía,Crítica,Resuelto,8,12,Medellín,Chat
179,2024-08-11,2024-08-12 05:00:00,274,10,Telefonía,Alta,Cerrado,8,29,Bucaramanga,Correo
180,2024-06-08,2024-06-09 12:00:00,68,19,VPN,Baja,Abierto,8,36,Barranquilla,Teléfono
181,2026-02-13,2026-02-13 01:00:00,64,13,Telefonía,Media,Abierto,8,1,Cali,Chat
182,2026-05-06,2026-05-06 08:00:00,89,8,VPN,Crítica,En Proceso,48,8,Pereira,Teléfono
183,2025-03-30,2025-03-31 17:00:00,257,16,Impresoras,Crítica,Resuelto,48,41,Medellín,Teams
184,2026-03-05,2026-03-07 01:00:00,124,13,VPN,Baja,Resuelto,4,49,Bogotá,Correo
185,2025-12-03,2025-12-03 07:00:00,273,17,VPN,Crítica,Abierto,4,7,Pereira,Teams
186,2024-08-03,2024-08-03 05:00:00,114,10,Software,Media,Abierto,48,5,Bucaramanga,Teléfono
187,2025-09-26,2025-09-27 00:00:00,362,19,Hardware,Baja,Resuelto,24,24,Bucaramanga,Portal
188,2024-11-13,2024-11-13 09:00:00,178,16,Equipos,Alta,Cerrado,24,9,Medellín,Teléfono
189,2024-07-22,2024-07-23 09:00:00,275,1,Equipos,Media,Resuelto,4,33,Medellín,Teams
190,2025-09-17,2025-09-17 15:00:00,111,6,Accesos,Alta,Abierto,48,15,Bucaramanga,Correo
191,2025-07-22,2025-07-22 07:00:00,158,13,Office 365,Alta,Resuelto,8,7,Barranquilla,Teléfono
192,2024-10-07,2024-10-07 21:00:00,161,6,SAP,Alta,En Proceso,8,21,Medellín,Teams
193,2024-12-25,2024-12-27 17:00:00,456,12,SAP,Crítica,Cerrado,48,65,Cali,Teams
194,2024-12-29,2024-12-29 21:00:00,491,7,Red,Alta,Resuelto,48,21,Bogotá,Teléfono
195,2024-08-24,2024-08-24 01:00:00,79,15,Telefonía,Alta,Resuelto,12,1,Pereira,Portal
196,2025-08-03,2025-08-05 04:00:00,8,4,Equipos,Crítica,Abierto,4,52,Medellín,Correo
197,2025-08-25,2025-08-26 08:00:00,22,18,Accesos,Alta,Abierto,12,32,Bucaramanga,Teams
198,2025-02-05,2025-02-05 03:00:00,111,12,Red,Media,En Proceso,12,3,Bogotá,Chat
199,2026-03-08,2026-03-09 17:00:00,499,18,SAP,Alta,Resuelto,8,41,Barranquilla,Teams
200,2025-12-14,2025-12-15 16:00:00,157,11,Software,Baja,Resuelto,12,40,Bucaramanga,Correo
201,2025-04-05,2025-04-07 18:00:00,89,18,Hardware,Crítica,Cerrado,48,66,Medellín,Chat
202,2025-10-28,2025-10-28 03:00:00,126,7,Software,Alta,Resuelto,4,3,Bogotá,Portal
203,2024-11-02,2024-11-03 18:00:00,116,12,VPN,Alta,Abierto,12,42,Pereira,Teléfono
204,2024-12-21,2024-12-23 09:00:00,395,16,Software,Crítica,Abierto,48,57,Bogotá,Portal
205,2024-06-20,2024-06-20 07:00:00,471,7,Office 365,Crítica,Resuelto,24,7,Barranquilla,Teléfono
206,2024-12-05,2024-12-06 01:00:00,86,2,Equipos,Crítica,Abierto,48,25,Bucaramanga,Teams
207,2025-01-08,2025-01-10 06:00:00,438,9,Accesos,Baja,Cerrado,12,54,Bogotá,Portal
208,2025-04-22,2025-04-22 10:00:00,422,10,Red,Crítica,Abierto,48,10,Medellín,Chat
209,2024-07-12,2024-07-12 03:00:00,313,9,Correo,Crítica,Resuelto,48,3,Bogotá,Teams
210,2024-06-13,2024-06-13 14:00:00,335,19,Impresoras,Crítica,En Proceso,12,14,Cali,Teams
211,2025-08-19,2025-08-21 12:00:00,240,5,Impresoras,Media,En Proceso,4,60,Medellín,Portal
212,2026-02-19,2026-02-21 14:00:00,374,5,Base de Datos,Alta,Cerrado,48,62,Bucaramanga,Portal
213,2025-12-10,2025-12-10 03:00:00,272,19,VPN,Baja,En Proceso,48,3,Bogotá,Correo
214,2025-07-04,2025-07-05 01:00:00,265,13,Office 365,Crítica,Cerrado,12,25,Medellín,Teléfono
215,2026-03-09,2026-03-10 06:00:00,397,18,Red,Alta,En Proceso,12,30,Cali,Chat
216,2025-08-25,2025-08-27 21:00:00,11,7,Office 365,Crítica,Abierto,12,69,Cali,Teléfono
217,2026-02-18,2026-02-18 09:00:00,13,11,Red,Baja,Abierto,24,9,Pereira,Teams
218,2025-12-25,2025-12-26 13:00:00,296,5,Equipos,Baja,Cerrado,48,37,Bogotá,Correo
219,2026-06-02,2026-06-04 16:00:00,317,13,VPN,Baja,Resuelto,48,64,Barranquilla,Teléfono
220,2024-07-09,2024-07-11 17:00:00,298,2,Software,Alta,Abierto,12,65,Bogotá,Portal
221,2025-03-08,2025-03-08 20:00:00,451,7,SAP,Media,Cerrado,48,20,Bucaramanga,Teléfono
222,2024-10-07,2024-10-07 19:00:00,135,13,Office 365,Alta,En Proceso,4,19,Cali,Teams
223,2025-08-16,2025-08-18 13:00:00,118,15,Accesos,Media,Resuelto,48,61,Barranquilla,Teléfono
224,2025-07-14,2025-07-14 11:00:00,55,14,Accesos,Crítica,En Proceso,4,11,Barranquilla,Chat
225,2026-02-06,2026-02-08 21:00:00,367,4,Red,Baja,Resuelto,48,69,Barranquilla,Portal
226,2026-06-01,2026-06-02 06:00:00,55,2,Red,Media,En Proceso,12,30,Bucaramanga,Chat
227,2024-07-03,2024-07-04 11:00:00,286,16,Impresoras,Alta,Abierto,24,35,Cali,Teléfono
228,2026-01-23,2026-01-26 00:00:00,324,4,Accesos,Baja,Resuelto,4,72,Barranquilla,Teléfono
229,2025-03-17,2025-03-18 11:00:00,117,14,SAP,Crítica,Resuelto,8,35,Bogotá,Teléfono
230,2024-10-24,2024-10-24 03:00:00,270,2,Equipos,Alta,Resuelto,48,3,Bucaramanga,Portal
231,2026-01-23,2026-01-25 11:00:00,119,12,Hardware,Baja,Abierto,4,59,Cali,Correo
232,2025-08-07,2025-08-08 13:00:00,107,9,Impresoras,Baja,Abierto,48,37,Bucaramanga,Teams
233,2025-09-25,2025-09-27 17:00:00,253,12,Software,Media,Resuelto,12,65,Bogotá,Chat
234,2025-01-05,2025-01-06 23:00:00,66,18,Hardware,Crítica,Abierto,48,47,Bogotá,Teams
235,2026-05-14,2026-05-14 02:00:00,373,5,Software,Baja,Abierto,12,2,Barranquilla,Teams
236,2026-04-19,2026-04-19 12:00:00,143,20,Base de Datos,Alta,Resuelto,12,12,Medellín,Teams
237,2024-09-21,2024-09-21 16:00:00,368,18,Software,Alta,En Proceso,48,16,Bucaramanga,Teléfono
238,2024-12-27,2024-12-28 04:00:00,419,17,VPN,Alta,Resuelto,4,28,Bucaramanga,Teams
239,2025-03-11,2025-03-12 13:00:00,98,16,Accesos,Crítica,Cerrado,48,37,Barranquilla,Chat
240,2025-12-01,2025-12-02 22:00:00,324,6,Telefonía,Baja,Abierto,4,46,Bogotá,Teams
241,2025-07-09,2025-07-10 02:00:00,413,4,Office 365,Alta,Cerrado,12,26,Bogotá,Teams
242,2025-05-06,2025-05-08 07:00:00,470,2,Red,Media,Abierto,8,55,Barranquilla,Teléfono
243,2025-09-02,2025-09-03 10:00:00,17,11,Base de Datos,Media,Abierto,48,34,Bucaramanga,Chat
244,2025-06-27,2025-06-27 01:00:00,279,2,Equipos,Media,Resuelto,4,1,Barranquilla,Portal
245,2025-07-12,2025-07-12 20:00:00,66,20,Accesos,Baja,Resuelto,48,20,Barranquilla,Correo
246,2025-05-01,2025-05-01 08:00:00,423,10,Impresoras,Baja,Abierto,12,8,Medellín,Teléfono
247,2025-01-13,2025-01-15 13:00:00,112,7,Telefonía,Crítica,Abierto,4,61,Bucaramanga,Correo
248,2024-09-08,2024-09-09 01:00:00,69,14,Red,Alta,Abierto,12,25,Medellín,Portal
249,2025-04-19,2025-04-22 00:00:00,472,12,Telefonía,Alta,Resuelto,24,72,Cali,Correo
250,2024-06-28,2024-06-30 08:00:00,23,9,VPN,Baja,En Proceso,48,56,Medellín,Portal
251,2026-02-13,2026-02-15 08:00:00,361,8,Hardware,Media,Resuelto,48,56,Barranquilla,Teléfono
252,2024-10-22,2024-10-23 19:00:00,316,7,Telefonía,Media,En Proceso,8,43,Bucaramanga,Correo
